date,home_team,away_team,team,scorer,minute,own_goal,penalty
2013-10-15,Ghana,Egypt,Ghana,Christian Atsu,88.0,False,False
2008-10-15,Japan,Uzbekistan,Uzbekistan,Maksim Shatskikh,27.0,False,False
2004-07-18,Paraguay,Uruguay,Paraguay,Carlos Gamarra,15.0,False,False
2006-10-07,Sweden,Spain,Sweden,Marcus Allbäck,82.0,False,False
2019-06-29,Haiti,Canada,Canada,Jonathan David,18.0,False,False
1997-04-30,Italy,Poland,Italy,Paolo Maldini,36.0,False,False
1993-01-17,Benin,Tunisia,Tunisia,Lotfi Rouissi,42.0,False,False
2021-07-12,Costa Rica,Guadeloupe,Guadeloupe,Raphaël Mirval,45.0,False,False
2013-09-06,Costa Rica,United States,Costa Rica,Celso Borges,9.0,False,False
2013-01-25,Burkina Faso,Ethiopia,Burkina Faso,Alain Traoré,34.0,False,False
2008-10-11,Sudan,Congo,Sudan,Faisal Agab,74.0,False,False
1958-06-08,Argentina,Germany,Germany,Uwe Seeler,42.0,False,False
2003-06-11,Sweden,Poland,Sweden,Anders Svensson,16.0,False,False
2005-09-04,Egypt,Benin,Egypt,Mido,71.0,False,False
2001-04-16,Tonga,Fiji,Fiji,Valerio Nasema,62.0,False,False
1927-11-13,Peru,Bolivia,Bolivia,José Bustamante,14.0,False,False
1972-10-15,Austria,Hungary,Hungary,Lajos Kocsis,20.0,False,False
2001-06-02,Estonia,Netherlands,Netherlands,Ruud van Nistelrooy,83.0,False,False
2006-06-26,Italy,Australia,Italy,Francesco Totti,90.0,False,True
1992-11-28,Honduras,Saint Vincent and the Grenadines,Honduras,César Obando,24.0,False,False
1967-01-22,Chile,Paraguay,Paraguay,Benigno Apocada,85.0,False,False
2001-09-05,Cyprus,Portugal,Cyprus,Michalis Konstantinou,25.0,False,False
2015-09-08,Aruba,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Tevin Slater,84.0,False,False
1999-07-25,Mexico,Saudi Arabia,Saudi Arabia,Nawaf Al-Temyat,62.0,False,True
2012-01-28,Botswana,Guinea,Botswana,Dipsy Selolwane,23.0,False,True
1999-06-04,Poland,Bulgaria,Poland,Tomasz Iwan,62.0,False,False
2003-06-11,England,Slovakia,Slovakia,Vladimír Janočko,31.0,False,False
1977-11-13,Romania,Yugoslavia,Romania,Dudu Georgescu,67.0,False,False
2021-03-25,Bulgaria,Switzerland,Switzerland,Steven Zuber,13.0,False,False
2021-11-12,England,Albania,England,Harry Kane,18.0,False,False
1986-03-08,Cameroon,Zambia,Zambia,Michael Chabala,65.0,False,False
1967-04-05,German DR,Netherlands,Netherlands,Piet Keizer,12.0,False,False
2001-05-28,Thailand,Pakistan,Thailand,Kiatisuk Senamuang,51.0,False,False
2004-07-17,Colombia,Costa Rica,Colombia,Abel Aguilar,41.0,False,False
2014-06-16,Germany,Portugal,Germany,Mats Hummels,32.0,False,False
2000-03-05,British Virgin Islands,Bermuda,Bermuda,Paul Cam,22.0,False,False
1958-06-08,Hungary,Wales,Hungary,József Bozsik,5.0,False,False
2001-04-11,Samoa,Fiji,Fiji,Manoa Masi,21.0,False,False
2019-03-21,Netherlands,Belarus,Netherlands,Georginio Wijnaldum,21.0,False,False
1976-10-31,Guinea,Ghana,Ghana,Emmanuel Ofei Ansah,59.0,False,False
2012-09-11,New Zealand,Solomon Islands,New Zealand,Shane Smeltz,12.0,False,False
2001-03-10,Sierra Leone,Sudan,Sudan,James Moga,43.0,False,False
2007-10-15,Macau,Thailand,Thailand,Datsakorn Thonglao,48.0,False,False
2022-11-29,Ecuador,Senegal,Senegal,Kalidou Koulibaly,70.0,False,False
2013-10-11,Bosnia and Herzegovina,Liechtenstein,Bosnia and Herzegovina,Edin Džeko,39.0,False,False
1995-11-15,Russia,Finland,Finland,Kim Suominen,44.0,False,False
2001-03-28,Switzerland,Luxembourg,Switzerland,Alexander Frei,90.0,False,False
2015-09-08,Lebanon,South Korea,South Korea,Ali Hamam,26.0,True,False
1993-02-27,Nigeria,Congo,Nigeria,Edema Fuludu,14.0,False,False
2000-06-03,Paraguay,Ecuador,Paraguay,Hugo Brizuela,42.0,False,False
2015-10-07,South Sudan,Mauritania,Mauritania,Boubacar Bagili,3.0,False,False
1930-07-22,Argentina,Chile,Chile,Guillermo Subiabre,15.0,False,False
2010-06-27,Germany,England,Germany,Thomas Müller,67.0,False,False
1997-10-11,Czech Republic,Slovakia,Czech Republic,Horst Siegl,70.0,False,False
2004-10-09,Venezuela,Brazil,Brazil,Ronaldo,50.0,False,False
1975-09-03,France,Iceland,France,Jean-Marc Guillou,20.0,False,False
1982-06-29,Italy,Argentina,Italy,Antonio Cabrini,67.0,False,False
1977-04-30,Austria,Malta,Austria,Hans Krankl,53.0,False,False
1993-07-18,Costa Rica,Martinique,Costa Rica,Juan Cayasso,87.0,False,False
2012-09-11,New Zealand,Solomon Islands,New Zealand,Chris Killen,53.0,False,False
2006-09-02,Germany,Republic of Ireland,Germany,Lukas Podolski,57.0,False,False
2009-06-06,United States,Honduras,United States,Carlos Bocanegra,68.0,False,False
2003-09-10,Albania,Georgia,Albania,Alban Bushi,80.0,False,False
2021-07-02,Peru,Paraguay,Peru,Gianluca Lapadula,40.0,False,False
2005-10-08,Bosnia and Herzegovina,San Marino,Bosnia and Herzegovina,Elvir Bolić,82.0,False,False
2002-06-07,Spain,Paraguay,Spain,Fernando Morientes,69.0,False,False
1997-06-13,Brazil,Costa Rica,Brazil,Rónald González Brenes,34.0,True,False
2015-03-23,Saint Kitts and Nevis,Turks and Caicos Islands,Turks and Caicos Islands,Thrizen Leader,74.0,True,False
2021-06-12,Haiti,Canada,Canada,Cyle Larin,14.0,False,False
1963-06-29,Denmark,Albania,Denmark,Ole Madsen,25.0,False,False
1992-05-25,Suriname,Guyana,Suriname,Eric Godlieb,2.0,False,False
1995-04-25,Poland,Israel,Poland,Wojciech Kowalczyk,55.0,False,False
2022-02-02,Burkina Faso,Senegal,Senegal,Abdou Diallo,70.0,False,False
1986-09-24,Iceland,Russia,Iceland,Arnór Guðjohnsen,30.0,False,False
2006-09-06,Netherlands,Belarus,Netherlands,Dirk Kuyt,90.0,False,False
2001-09-05,Mexico,Trinidad and Tobago,Mexico,Jesús Arellano,44.0,False,False
2017-10-10,Honduras,Mexico,Mexico,Oribe Peralta,17.0,False,False
1990-10-10,Spain,Iceland,Iceland,Sigurður Jónsson,66.0,False,False
2013-03-24,Ghana,Sudan,Ghana,Mubarak Wakaso,38.0,False,False
2002-10-16,Bulgaria,Andorra,Andorra,Antoni Lima Solá,80.0,False,False
1986-06-06,Brazil,Algeria,Brazil,Careca,66.0,False,False
1967-12-23,Italy,Switzerland,Italy,Angelo Domenghini,45.0,False,False
1990-09-12,Switzerland,Bulgaria,Switzerland,Thomas Bickel,63.0,False,False
1956-11-11,France,Belgium,France,Thadée Cisowski,15.0,False,False
2011-07-03,Macau,Vietnam,Vietnam,Lê Công Vinh,82.0,False,False
2005-03-26,Costa Rica,Panama,Costa Rica,Roy Myrie,90.0,False,False
2021-09-02,Lithuania,Northern Ireland,Lithuania,Rolandas Baravykas,55.0,False,False
1963-03-20,Argentina,Ecuador,Argentina,Raúl Armando Savoy,34.0,False,False
2001-10-21,Bahrain,Iran,Iran,Ali Daei,82.0,False,False
2007-03-24,Liechtenstein,Northern Ireland,Northern Ireland,Grant McCann,90.0,False,False
1957-10-13,Chile,Argentina,Argentina,Norberto Conde,61.0,False,False
1996-04-24,Argentina,Bolivia,Bolivia,Julio César Baldivieso,42.0,False,False
2008-09-10,Guatemala,Cuba,Guatemala,Mario Rafael Rodríguez,85.0,False,False
1977-11-25,Egypt,Tunisia,Tunisia,Abderraouf Ben Aziza,80.0,False,False
2008-09-10,Vanuatu,Fiji,Fiji,Maciu Dunadamu,90.0,False,False
2004-06-20,Costa Rica,Cuba,Cuba,Alain Cervantes,45.0,False,False
2010-06-19,Ghana,Australia,Australia,Brett Holman,11.0,False,False
2009-03-28,El Salvador,United States,El Salvador,Eliseo Quintanilla,15.0,False,False
2017-01-18,Cameroon,Guinea-Bissau,Cameroon,Sébastien Siani,61.0,False,False
2017-03-24,Spain,Israel,Spain,Vitolo,45.0,False,False
2021-09-03,Tunisia,Equatorial Guinea,Tunisia,Dylan Bronn,54.0,False,False
2021-09-01,Norway,Netherlands,Norway,Erling Haaland,20.0,False,False
2021-09-01,Kazakhstan,Ukraine,Ukraine,Roman Yaremchuk,2.0,False,False
1996-06-01,Sweden,Belarus,Sweden,Patrik Andersson,77.0,False,False
2019-03-24,Israel,Austria,Israel,Eran Zahavi,34.0,False,False
1954-06-17,Switzerland,Italy,Italy,Giampiero Boniperti,44.0,False,False
1983-03-27,Luxembourg,Hungary,Hungary,Péter Hannich,56.0,False,False
2005-06-19,Algeria,Zimbabwe,Zimbabwe,Peter Ndlovu,87.0,False,False
1960-11-20,Belgium,Switzerland,Switzerland,Charles Antenen,22.0,False,False
1989-07-15,China PR,Iran,China PR,Liu Haiguang,73.0,False,False
2010-09-03,Moldova,Finland,Moldova,Alexandru Suvorov,69.0,False,False
2015-11-12,Afghanistan,Cambodia,Afghanistan,Norlla Amiri,78.0,False,False
1967-06-18,Czechoslovakia,Turkey,Czechoslovakia,Jozef Adamec,70.0,False,False
2021-11-15,Austria,Moldova,Austria,Dejan Ljubičić,83.0,False,False
2019-06-07,Denmark,Republic of Ireland,Denmark,Pierre-Emile Højbjerg,76.0,False,False
1978-09-20,Denmark,England,England,Kevin Keegan,23.0,False,False
2020-10-08,North Macedonia,Kosovo,Kosovo,Florent Hadergjonaj,29.0,False,False
2005-03-30,North Korea,Iran,Iran,Javad Nekounam,79.0,False,False
2019-06-10,Czech Republic,Montenegro,Czech Republic,Boris Kopitović,49.0,True,False
1945-01-31,Chile,Colombia,Chile,Desiderio Medina,48.0,False,False
2013-06-11,Denmark,Armenia,Armenia,Yura Movsisyan,1.0,False,False
2021-09-07,Republic of Ireland,Serbia,Republic of Ireland,Nikola Milenković,87.0,True,False
1984-12-05,Singapore,China PR,China PR,Zhao Dayu,39.0,False,False
1971-11-24,Spain,Cyprus,Spain,Quino Sierra,13.0,False,False
1973-05-26,South Korea,Hong Kong,South Korea,Chung Kyu-Poong,72.0,False,False
2013-03-22,Slovenia,Iceland,Iceland,Gylfi Sigurðsson,78.0,False,False
2000-10-12,Lebanon,Iran,Iran,Ali Daei,90.0,False,False
2008-09-10,Italy,Georgia,Italy,Daniele De Rossi,89.0,False,False
1982-10-06,Czechoslovakia,Sweden,Sweden,Ulf Eriksson,90.0,False,False
1970-11-11,Scotland,Denmark,Scotland,John O'Hare,13.0,False,False
2011-07-23,China PR,Laos,Laos,Visay Phaphouvanin,31.0,False,False
1983-10-12,Republic of Ireland,Netherlands,Republic of Ireland,Liam Brady,35.0,False,True
2004-10-13,Qatar,Iran,Iran,Arash Borhani,78.0,False,False
1987-03-29,Portugal,Malta,Portugal,Jorge Plácido,77.0,False,False
1977-08-14,Australia,Iran,Iran,Hassan Rowshan,70.0,False,False
2007-09-12,Denmark,Liechtenstein,Denmark,Jon Dahl Tomasson,18.0,False,False
2004-10-06,Mexico,Saint Vincent and the Grenadines,Mexico,Jaime Lozano,54.0,False,False
2015-01-17,Oman,Kuwait,Oman,Abdul Aziz Al-Muqbali,69.0,False,False
1996-07-07,Bolivia,Venezuela,Bolivia,Roly Paniagua,85.0,False,False
1985-02-27,Netherlands,Cyprus,Netherlands,Dick Schoenaker,30.0,False,False
1954-06-20,Germany,Hungary,Hungary,Sándor Kocsis,69.0,False,False
2011-10-07,Greece,Croatia,Greece,Theofanis Gekas,79.0,False,False
2017-10-06,United States,Panama,United States,Christian Pulisic,8.0,False,False
1954-01-24,Italy,Egypt,Italy,Giampiero Boniperti,86.0,False,False
2012-10-16,New Zealand,Tahiti,New Zealand,Michael McGlinchey,2.0,False,False
1925-11-29,Argentina,Paraguay,Argentina,Martin Sánchez,72.0,False,False
1983-08-21,Bolivia,Peru,Bolivia,Erwin Romero,65.0,False,False
2019-03-23,Liechtenstein,Greece,Greece,Kostas Fortounis,45.0,False,False
2001-07-16,Uruguay,Costa Rica,Uruguay,Carlos María Morales,53.0,False,False
2001-07-14,Chile,Venezuela,Chile,Cristian Montecinos,78.0,False,False
1985-04-28,Macau,Hong Kong,Hong Kong,Lau Wing Yip,80.0,False,False
2007-10-13,Italy,Georgia,Italy,Andrea Pirlo,44.0,False,False
2004-06-20,Egypt,Ivory Coast,Ivory Coast,Didier Drogba,75.0,False,False
1969-08-24,Brazil,Venezuela,Brazil,Pelé,69.0,False,False
2005-03-26,Senegal,Liberia,Senegal,El Hadji Diouf,45.0,False,True
2013-01-26,Ivory Coast,Tunisia,Ivory Coast,Didier Ya Konan,90.0,False,False
1970-02-07,DR Congo,Ghana,Ghana,Kwasi Owusu,29.0,False,False
2004-09-08,Armenia,Finland,Finland,Alexei Eremenko,67.0,False,False
2004-06-09,Japan,India,Japan,Shunsuke Nakamura,29.0,False,False
1983-04-16,Czechoslovakia,Cyprus,Czechoslovakia,Václav Daněk,70.0,False,False
2005-03-27,Ivory Coast,Benin,Ivory Coast,Didier Drogba,19.0,False,False
1978-09-20,Austria,Scotland,Austria,Walter Schachner,47.0,False,False
2007-10-21,Sri Lanka,Qatar,Qatar,Sebastián Soria,68.0,False,False
1973-09-12,Norway,Netherlands,Norway,Harry Hestad,77.0,False,False
1983-04-16,Czechoslovakia,Cyprus,Czechoslovakia,Ladislav Vízek,48.0,False,False
1949-06-02,Sweden,Republic of Ireland,Sweden,Sune Andersson,17.0,False,True
1976-02-28,Germany,Malta,Germany,Bernd Hölzenbein,87.0,False,False
2005-10-12,Italy,Moldova,Italy,Alberto Gilardino,85.0,False,False
1989-03-08,Bangladesh,Thailand,Bangladesh,Sabbir,28.0,False,False
1962-05-31,Russia,Yugoslavia,Russia,Viktor Ponedelnik,83.0,False,False
1960-10-16,Taiwan,Vietnam Republic,Taiwan,Luk Man Wai,51.0,False,False
1979-08-22,Colombia,Venezuela,Colombia,"Alex ""Didí"" Valverde",53.0,False,False
2006-10-11,Slovakia,Germany,Germany,Michael Ballack,25.0,False,False
2007-09-08,England,Israel,England,Shaun Wright-Phillips,20.0,False,False
1965-03-17,Wales,Greece,Wales,Ivor Allchurch,74.0,False,False
1980-02-26,New Caledonia,Vanuatu,New Caledonia,,,False,False
1996-06-09,Denmark,Portugal,Denmark,Brian Laudrup,22.0,False,False
2021-06-04,Brazil,Ecuador,Brazil,Richarlison,65.0,False,False
2003-06-22,France,New Zealand,France,Djibril Cissé,71.0,False,False
2015-03-27,Slovenia,San Marino,Slovenia,Andraž Struna,50.0,False,False
1959-10-18,Czechoslovakia,Denmark,Czechoslovakia,Titus Buberník,39.0,False,False
1997-06-04,Kyrgyzstan,Iran,Iran,Karim Bagheri,51.0,False,False
1993-05-01,Malaysia,Kuwait,Kuwait,Ayman Al Husaini,8.0,False,False
1917-09-30,Uruguay,Chile,Uruguay,Carlos Scarone,20.0,False,False
1942-01-18,Uruguay,Ecuador,Uruguay,Schubert Gambetta,13.0,False,False
2006-06-25,England,Ecuador,England,David Beckham,60.0,False,False
1986-06-03,Mexico,Belgium,Belgium,Erwin Vandenbergh,45.0,False,False
2015-10-11,Gibraltar,Scotland,Scotland,Chris Martin,25.0,False,False
2005-10-08,Sudan,Ivory Coast,Ivory Coast,Aruna Dindane,51.0,False,False
1972-05-19,Thailand,Cambodia,Cambodia,Tol Kimchi,49.0,False,False
2001-07-13,Egypt,Namibia,Egypt,Abdul-Hamid Bassiouny,43.0,False,False
1997-04-27,Cameroon,Togo,Cameroon,Bernard Tchoutang,87.0,False,False
2004-09-08,India,Japan,Japan,Tsuneyasu Miyamoto,87.0,False,False
1990-12-19,Spain,Albania,Spain,Emilio Butragueño,57.0,False,False
1942-01-25,Ecuador,Paraguay,Paraguay,Fabio Baudo Franco,5.0,False,False
2007-03-24,Greece,Turkey,Greece,Sotirios Kyrgiakos,6.0,False,False
1996-11-09,Liechtenstein,North Macedonia,North Macedonia,Dejvi Glavevski,8.0,False,False
2012-06-06,Solomon Islands,New Zealand,Solomon Islands,Benjamin Totori,56.0,False,False
